MANDT,VBELN,WADAT,LFUHR,ERDAT,ERNAM
SC1,ef5c670e-dbf9-489a-a8d8-b06ec98e2788,2019-07-09 06:42:28,2019-07-10 07:27:12,2019-07-03 19:23:15,Jack Dawson
SC1,f079d2a2-2273-4fb5-9a78-8446f74a6f08,2011-02-13 02:00:52,2011-02-13 02:00:52,2011-01-17 09:33:10,Robert Axelrod
SC1,46edd6a2-316e-4b14-85bd-f5afeb7d76c8,2014-05-25 17:52:56,2014-05-25 17:52:56,2014-05-08 02:43:38,Walter White
SC1,cf97d2ef-0691-44f6-a2d9-90fc9e36b667,2011-04-05 16:13:50,2011-04-05 16:13:50,2011-03-30 10:48:54,Rick Blaine
SC1,c0d1e39e-46fa-4192-beb7-285602a27124,2016-05-10 14:47:20,2016-05-14 21:38:59,2016-04-22 23:04:53,Frodo Baggins
SC1,407d3fe2-346a-4d57-a39d-b026db75e5d0,2011-06-13 04:01:14,2011-06-13 04:01:14,2011-05-16 05:13:24,Rocky Balboa
SC1,37d04de8-308c-4704-ac2a-726635f77e93,2019-08-22 15:46:12,2019-08-22 15:46:12,2019-08-17 08:42:34,Daenerys Targaryen
SC1,4d3b5b80-7bc8-41a2-8dbb-6dd2f750a477,2019-12-21 10:49:57,2019-12-21 10:49:57,2019-12-09 21:47:54,Marty McFly
SC1,55221ded-9ffb-4e9a-9c59-756a02e5784c,2014-01-25 17:02:02,2014-01-25 17:02:02,2014-01-12 22:38:31,Ellen Ripley
SC1,3eb0a7fe-8fa1-45b6-baa8-94f97da05b32,2018-04-18 02:53:27,2018-04-18 02:53:27,2018-03-27 13:12:56,Tony Stark
SC1,86622154-f0eb-4ca8-88a4-bb5978191686,2015-04-12 03:04:36,2015-04-12 03:04:36,2015-03-22 12:22:22,Indiana Jones
SC1,e96f7913-b7e7-458b-8aa7-43afd465830a,2017-12-25 19:21:15,2017-12-25 19:21:15,2017-12-10 12:13:27,Tony Stark
SC1,3f57b19a-942b-492d-b660-ce44a23edd3b,2010-10-25 03:38:41,2010-10-31 18:00:42,2010-10-03 03:46:21,James Bond
SC1,b95197f5-ab9c-4e7a-ac2b-8b313c4b8d7c,2015-07-01 07:09:56,2015-07-07 12:41:38,2015-06-20 03:52:49,Katniss Everdeen
