MANDT,MBLNR,KDAUF,KDPOS
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,0
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,1
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,2
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,3
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,4
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,5
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,6
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,7
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,8
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,9
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,10
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,11
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,12
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,13
SC1,dee11d27-61ef-4c9e-be7e-21bc8343181b,3a03cd14-6ff7-4f62-999b-3eba66388ca8,14
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,0
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,1
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,2
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,3
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,4
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,5
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,6
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,7
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,8
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,9
SC1,2fd61d5a-1562-4e4e-bdda-3b26e4c5d8fd,2aaecbf8-9c1c-4cd1-9ca5-fc1336e7337d,10
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,0
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,1
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,2
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,3
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,4
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,5
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,6
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,7
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,8
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,9
SC1,f2bb77b4-0618-468a-8bad-8f86ca9a4a93,935cef34-ca58-43ff-92bf-0fa4ea207f76,10
SC1,d27e16ca-88f6-4b76-862b-7e883aabb343,0b42a25a-65d1-4b93-8dc3-d2ffead56f70,0
SC1,d27e16ca-88f6-4b76-862b-7e883aabb343,0b42a25a-65d1-4b93-8dc3-d2ffead56f70,1
SC1,d27e16ca-88f6-4b76-862b-7e883aabb343,0b42a25a-65d1-4b93-8dc3-d2ffead56f70,2
